
MAME GP2X GAMELIST (1128 romsets)

Name      Description
popeye    "Popeye"
popeyebl  "Popeye (bootleg)"
popflame  "Pop Flamer"
portman   "Port Man"
potogold  "Pot of Gold"
pow       "P.O.W. (US)"
powj      "P.O.W. (Japan)"
prehisle  "Prehistoric Isle in 1930 (World)"
prehislu  "Prehistoric Isle in 1930 (US)"
pspikes   "Power Spikes (Korea)"
pspikes2  "Power Spikes 2"
psychic5  "Psychic 5"
psychos   "Psycho Soldier (set 1)"
psychosa  "Psycho Soldier (set 2)"
puckman   "Puck Man"
pulsar    "Pulsar"
pulstar   "Pulstar"
punchout  "Punch Out"
punisher  "Punisher (World)"
punishrj  "Punisher (Japan)"
punkshot  "Punk Shot"
puzzledp  "Puzzle de Pon"
qad       "Quiz & Dragons (US)"
qadj      "Quiz & Dragons (Japan)"
qbert     "Q*Bert (US)"
qbertjp   "Q*Bert (Japan)"
qbertqub  "Q*Bert Qubes"
qix       "Qix"
qix2      "Qix II (Tournament)"
quantum   "Quantum (rev 2)"
quantum1  "Quantum (rev 1)"
quartet2  "Quartet II"
qwakprot  "Qwak (prototype)"
radarscp  "Radar Scope"
ragnagrd  "Operation Ragnagard / Shin Oh Ken"
rainbow   "Rainbow Islands"
rainbowe  "Rainbow Islands (Extra)"
rallyx    "Rally X"
rampage   "Rampage"
rastan    "Rastan"
rastsaga  "Rastan Saga"
rbff1     "Real Bout Fatal Fury"
rbffspec  "Real Bout Fatal Fury Special"
rbtapper  "Tapper (Root Beer)"
reactor   "Reactor"
realbou2  "Real Bout Fatal Fury 2 - The Newcomers"
redalert  "Red Alert"
redbaron  "Red Baron"
redufo    "Defend the Terra Attack on the Red UFO"
regulus   "Regulus"
regulusu  "Regulus (not encrypted)"
renegade  "Renegade (US)"
rescue    "Rescue"
rf2       "RF2"
ridhero   "Riding Hero"
ringkin2  "Ring King (set 2)"
ringking  "Ring King (set 1)"
ripcord   "Rip Cord"
roadblst  "Road Blasters"
roadf     "Road Fighter (set 1)"
roadf2    "Road Fighter (set 2)"
roadrunn  "Road Runner"
robby     "Robby Roto"
robocopp  "Robocop (bootleg)"
robotbwl  "Robot Bowl"
robotron  "Robotron (Solid Blue label)"
robotryo  "Robotron (Yellow/Orange label)"
rockmanj  "Rockman - The Power Battle (Japan)"
rocnrope  "Roc'n Rope"
rodlandj  "RodLand (Japan)"
rollingc  "Rolling Crash / Moon Base"
ropeman   "Rope Man"
roundup   "Round-Up"
route16   "Route 16"
rpatrolb  "River Patrol (bootleg)"
rthunder  "Rolling Thunder"
rushatck  "Rush'n Attack"
rygar     "Rygar (US set 1)"
rygar2    "Rygar (US set 2)"
rygarj    "Rygar (Japan)"
safari    "Safari"
salamand  "Salamander"
samsho    "Samurai Shodown / Samurai Spirits"
samsho2   "Samurai Shodown 2 / Samurai Spirits 2"
samsho3   "Samurai Shodown 3 / Samurai Spirits 3"
samsho4   "Samurai Shodown 4 / Samurai Spirits 4"
samurai   "Samurai"
sarge     "Sarge"
sasuke    "Sasuke vs. Commander"
satansat  "Satan of Saturn"
sauro     "Sauro"
savagere  "Savage Reign"
savgbees  "Savage Bees"
sbagman   "Super Bagman"
